S.No,Song Name,Artist,mood,Movie,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link
46,Mehabooba,Ananya Bhat,romantic,KGF 2,https://youtu.be/Zg837tKfA0U,,,,,,,
47,Komuram Bheemudo,Kaala Bhairava,motivational,RRR,https://youtu.be/uBDCl5c-9qM,,,,,,,
48,Spirit Of Jersey,Kaala Bhairava,Motivational,Jersey,https://youtu.be/_xuI60USDjw,,,,,,,
49,Mella Mellaga,Sid Sriram,romantic,ABCD,https://youtu.be/VQTx4eswiFY,,,,,,,
50,Hey Idi Nenena,Sid Sriram,Love,Solo Brathuke So Better,https://youtu.be/AmGn686QCI0,,,,,,,
51,Jai Balayya,DSP,Energetic,Akhanda,https://youtu.be/HgWgOii3SmQ,,,,,,,
52,Evare,Vijay Yesudas,Love,Premam,https://youtu.be/WQk5CI4NZII,,,,,,,
53,Bheemla Nayak ,Thaman,Energetic,Bheemla Nayak,https://youtu.be/GqX5Ah1bNbI,,,,,,,
54,Adiga Adiga,Sid Sriram,Sad,Ninnu Kori,https://youtu.be/evbYFsSJ4pU,,,,,,,
55,Peniviti,Diwakar,Sad,Aravinda Sametha,https://youtu.be/grZEzrj7XQc,,,,,,,
56,My dear Markandayya,Anurag Kulkarni,Motivational,Bro,https://youtu.be/Yyel5yf_-LE,,,,,,,
57,My Love is Gone,Karthik,Sad,Aarya 2,https://youtu.be/GdN9qdDnE5U,,,,,,,
58,Chal Chalo Chalo,DSP,Motivational,s/o sathyamurthi,https://youtu.be/ZhIyyO4JMnA,,,,,,,
59,Padara Padara,DSP,Motivational,Maharshi,https://youtu.be/EgZmo26mp8s,,,,,,,
60,Nee Kanti Choopullo,chitra,romantic,Legend,https://youtu.be/mg-g8gjasY8,,,,,,,
61,Veyinaamaala vaada,MM Keeravani,Devotional,Om namo venkatesataya,https://youtu.be/l1pezLiSbZY,,,,,,,
62,Bangaru Kodipetta,"Mano, S Janaki",energetic,Gharana Mogudu,https://youtu.be/3lBGoYIOvRY,,,,,,,
63,Chinuku Chinuku,SPB,romantic,subhalagnam,https://youtu.be/4i7YaDBIHIs,,,,,,,
64,Padi Padi Leche Manasu,Sinduri Vishal,love,Padi Padi Leche Manasu,https://youtu.be/fz9IDb2FV-0,,,,,,,
65,Kanapadava,Hari Charan,sad,paagal,https://youtu.be/Y7I_vGlSV2I,,,,,,,
66,Kanulanu Thaake,arjith singh,romantic,manam,https://youtu.be/30Bjg_7KuoE,,,,,,,
67,Hey Pillagaada,Haricharan,happy,Fidaa,https://youtu.be/k9DMXBFHEH4,,,,,,,
68,Athiloka sundari,Vishal Dadlani,love,Sarrainodu,https://youtu.be/Pc_N1Sfw1IM,,,, query=Athi+,,,
69,Sannajaaji Padaka,S.janaki,Romantic,Kshatriya putrudu,https://youtu.be/VPSebdatjek,,,,,,,
70,Premante Enti,SP Balu,romantic,Pelli sandhadi,https://youtu.be/rTP9HavHIQE,,,,,,,
71,Pakkinti Ammayi,sp balu,happy,Pakkinti ammayyi,https://youtu.be/fcHKT19uI1Q,,,,,,,
72,Varsham Song,DSP,romantic,Varsham,https://youtu.be/TBX-PJyifts,,,,,,,
73,Nuvvuntey Chaaley,Vivek,happy,Andhra King Taluka,https://youtu.be/s9NBDKfVg1c,,,,,,,
74,Guche Gulabi,Sid Sriram,Romantic,Most Eligible Bachelor,https://youtu.be/kusi4vzL5Po,,,,,,,
75,Digu Digu Digu Nagali,Mangli,party,Varudu Kaavalenu,https://youtu.be/-4AN2MMkeFA,,,,,,,
76,Bujji,Anirudh,Energetic,Jagame Thandhiram ,https://youtu.be/7Y6GrgSJnNQ,,,,,,,
77,Sooreede,Harini,sad,Salar,https://youtu.be/2n7lsBRfmA0,,,,,,,
78,Allasani Vaari,Sid Sriram,Romantic,Tholiprema,https://youtu.be/fLqZvK0lqvE,,,,,,,
79,Manasa Manasa,Sid Sriram,Sad,Most Eligible Bachelor,https://youtu.be/jcdqEcpWnUM,,,,,,,
80,Kodaka Koteswara Rao,DSP,party,Agnyaathavaasi,https://youtu.be/UPw1Nu7Zf0w,,,,,,,
81,Kanti Papa,Armaan Malik,Romantic,Vakeelsaab,https://youtu.be/_GqYza1yQ9c,,,,,,,
82,Bullet Song,DSP,party,The Warrior,https://youtu.be/WgrLE4Fqxeo,,,,,,,
83,Jinthaak,Mangli,energetic,Dhamaka,https://youtu.be/Hiiae2lRw9U,,,,,,,
84,Chamkeela angeela,Ram miriyala,Energetic,Dasara,https://youtu.be/XeGdY8RoxQY,,,,,,,
85,Pataas Pilla,Anurag Kulkarni,love,DJ Tillu,https://youtu.be/VdGY5cs7onc,,,,,,,
86,Emo Emo,Sid Sriram,Romantic,Raahu,https://youtu.be/f-KyCvE8AS0,,,,,,,
87,Aradhya,Sid Sriram,Romantic,Kushi,https://youtu.be/MBlgaPguCaQ,,,,,,,
88,Naatu Fire,rahul,Energetic,RRR,https://youtu.be/4_eEgJhsBMo,,,,,,,
